published_at,brand,content,Customer ID,Question,Tenure Type,Management area,Age Group,Ethnicity,Property Type,Disability (No Data for 2023)
01/10/2024,TSM Survey,As North Star have good customer service and offer good service for everything. I have never had a complaint.,ELDO0104000,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,36-45,Mixed or Multiple: Other,House,No disability
01/10/2024,TSM Survey,"I am happy with everything, North Star come straight away when we report an issue, there is not much wait at all.",PION0100004,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,56-65,White Other,House,No disability
01/10/2024,TSM Survey,"All the jobs North Star have done have been excellent. I have one outstanding job from a year ago, which is a leak in the bedroom. Contractors are coming to paint next week. Also we have not had a window cleaner for 4 months which I have mentioned to our housing officer",ST C0101500,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/10/2024,TSM Survey,North Star service is very good.  When I call them they come straight away and fix the issue.,WENT0101000,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,Black or Black British: African,House,No disability
01/10/2024,TSM Survey,I've never had any problems and I've been here over a year. Everything has been great.,DARW0101100,Why would you say you are satisfied with the service provided?,General Needs,Stockton,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,"North Star are a good company, they have nice houses and any issues, like repairs, they sort them out quickly.",FAIR0102600,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
01/10/2024,TSM Survey,They helped me when I needed help.,URSW0103600,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,56-65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,because they always come and help you.,DIXO0102300,Why would you say you are satisfied with the service provided?,General Needs,Stockton,36-45,Asian or Asian British: Pakistani,House,No disability
01/10/2024,TSM Survey,"North Star staff are all right and the warden and manager are very nice, they are all friendly.",WORS0200800,Why would you say you are satisfied with the service provided?,Housing for Older People,Darlington,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/10/2024,TSM Survey,"I've had no problems with them, they come out on time for repairs and everything is up to date and they're easy to deal with and don't mess you about.",PARK0903000,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,"When North Star come to do work, they are prompt and do the job satisfactorily. I had my kitchen renovated and there was an issue with the plumbing due to leaks. This is now resolved.",BORO012440A,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,I have had no complaints about North Star.,FAIR0104200,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
01/10/2024,TSM Survey,"When I need anything doing, I get in touch with North Star and I know it will get sorted.  They do not get on at you all the time, busying themselves.",WATS0100100,Why would you say you are satisfied with the service provided?,General Needs,Barnard Castle,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
01/10/2024,TSM Survey,They offer good housing.,ORWE0104100,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,White Other,House,No disability
01/10/2024,TSM Survey,I have never had any issues in 12 years with North Star.  They always do the repairs that I ask and I have no issues with them at all.,NEWH0104900,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,I have no problems at all with North Star.,MILL0500100,Why would you say you are satisfied with the service provided?,General Needs,Teesdale,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,The houses are very good and it is a very nice area.,PLOU0105900,Why would you say you are satisfied with the service provided?,General Needs,Hardwick,36-45,Asian or Asian British: Other,House,No disability
01/10/2024,TSM Survey,I have not had any issues with North Star.  When I have needed to call them they have been very efficient.,CHEL0201500,Why would you say you are satisfied with the service provided?,General Needs,Teesdale,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,They do the repairs on time and the communication is very good.,WENS0103200,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,26-35,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/10/2024,TSM Survey,I think they are a decent landlord.,ESTO0200300,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,Over 75,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,"North Star get repairs done on time, whenever I need them.",WORC0202100,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,66-75,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,"If I need anything done, repairs and things, it gets done.",FALM0101700,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,I am satisfied with the work and service provided. My only concern is that workmen are not putting on overshoes and it is embarrassing to keep asking contractors; especially if they walk on my bedroom carpet.,WALE0200300,Why would you say you are satisfied with the service provided?,General Needs,Darlington,25 and under,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
01/10/2024,TSM Survey,North Star sort the problems out for me when I need them to.,FENN0102200,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,25 and under,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,"Whenever I have a problem, I ring them and they are always out within 24 to 48 hours.",ROUS0103200,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,They come straight away for repairs. They always come when they say they will.,GROV010430A,Why would you say you are satisfied with the service provided?,General Needs,Stockton,46-55,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
01/10/2024,TSM Survey,"I'm satisfied because any complaints, they try to sort within 24 hours.",GRAN0205800,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Asian or Asian British: Other,House,No disability
01/10/2024,TSM Survey,I have never had any problems. They are prompt when a repair needs doing.,WELL0208400,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,Over 75,White: English/Welsh/Scottish/Northern Irish/British,House,Disability
01/10/2024,TSM Survey,They have been very good to me. Every time I ring for a repair they are very prompt. Clare has been very good at getting me a flat to be nearer to my dad because I was caring for him when he was ill. They have been fantastic in all areas.,WYCO0200900,Why would you say you are satisfied with the service provided?,General Needs,Darlington,36-45,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/10/2024,TSM Survey,I have not been here very long and they are very quick at coming out to do any repairs that have been needed. They came to replace some cupboards but they don't match. I asked them if they would replace the others to match but they have refused.,CHUR0300500,Why would you say you are satisfied with the service provided?,General Needs,Etherley,56-65,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/10/2024,TSM Survey,"If I need jobs done, they are on the ball with things. They will come straight out as soon as I report it.",IREN0202200,Why would you say you are satisfied with the service provided?,General Needs,Carlinhow,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/10/2024,TSM Survey,"When I ask them to come and do any repairs, they come within a day or two.",ESKD0105400,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/10/2024,TSM Survey,Everything I report they deal with straight away.,ST C0100700,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,66-75,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
01/10/2024,TSM Survey,If I have any issues they solve the problem straight away.,EMBL0100200,Why would you say you are satisfied with the service provided?,Supported,Stockton,46-55,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/10/2024,TSM Survey,I don't have any problems. The house is very good and they are always helpful when I need anything.,ELLA0100900,Why would you say you are satisfied with the service provided?,General Needs,Stockton,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,I have issues the house since living here and every time I have called North Star they have resolved the issues.,NORF0100600,Why would you say you are satisfied with the service provided?,General Needs,Stockton,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/10/2024,TSM Survey,They've been really good since I moved in - the property is good quality and the service is good.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Thirsk,26-35,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
01/01/2025,TSM Survey,They are very good they don’t take long at all in getting things sorted,YARM0106200,Why would you say you are satisfied with the service provided?,General Needs,Darlington,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
01/01/2025,TSM Survey,"Excellent company, always polite and helpful with any problems",SCHO040010C,Why would you say you are satisfied with the service provided?,General Needs,Darlington,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/01/2025,TSM Survey,I am happy where I am. I am happy with the house and the repairs are lovely.,BELL0102200,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,56-65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,I have not had any problems.,BELL0400400,Why would you say you are satisfied with the service provided?,General Needs,Stillington,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,"North Star are there when I need them and if I call for anything, they are always very helpful.",ST P0301600,Why would you say you are satisfied with the service provided?,General Needs,Darlington,36-45,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/01/2025,TSM Survey,If there are any problems or repairs they come quickly.,GRAN0202001,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,Asian or Asian British: Pakistani,House,No disability
01/01/2025,TSM Survey,I am very satisfied because they are very good with everything.,PARK0102500,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,Asian or Asian British: Other,House,No disability
01/01/2025,TSM Survey,We haven't had many problems and things get sorted out if we need anything.,HOLL0502600,Why would you say you are satisfied with the service provided?,General Needs,Barnard Castle,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,Anytime I ask for something they send someone to fix it for me.,GRAN0207600,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Asian or Asian British: Indian,House,No disability
01/01/2025,TSM Survey,"When I have had problems in the house, I just call North Star and they get things sorted within a couple of days.",ST P0300400,Why would you say you are satisfied with the service provided?,General Needs,Darlington,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,"When I call North Star for anything that needs to be done, they are quick to sort things out.",DARL0215500,Why would you say you are satisfied with the service provided?,General Needs,Stockton,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/01/2025,TSM Survey,"When ever I have any problems, I call just North Star and they sort it for me.",ST C0100300,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
01/01/2025,TSM Survey,North Star are always on time for repair appointments and we are happy with the service.,MINO0109500,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/01/2025,TSM Survey,I have had no problems with North Star and all my repairs have been good.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/01/2025,TSM Survey,"I have had no problems with North Star and when I call them for anything, the staff are nice enough. I feel that they are there for me if I have any problems.",GRAN0203300,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,66-75,White: English/Welsh/Scottish/Northern Irish/British,House,Disability
01/01/2025,TSM Survey,"When I report any repairs, they get done fairly quickly.",Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/01/2025,TSM Survey,I find North Star to be brilliant. The staff know what they are doing and they are good at their jobs.,RIBB0200700,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White: English/Welsh/Scottish/Northern Irish/British,Flat,Disability
01/01/2025,TSM Survey,North Star do things when I ask them to.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,Over 75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
01/01/2025,TSM Survey,"I have no problems with North Star, but if I did they would sort it out for me.",HILL0200500,Why would you say you are satisfied with the service provided?,General Needs,Copley,66-75,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/01/2025,TSM Survey,Generally when I do ring North Star are on the ball. If I have a repair they send someone out to sort it.,RAIS0101000,Why would you say you are satisfied with the service provided?,General Needs,Stockton,46-55,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,"I have never had an issue getting repairs done.  Helen, the housing officer, rung me today to check everything is okay.",LANG0103900,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,56-65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,"Nothing has been a problem, and we have had no issues since we have been here.",PARN0105200,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,North Star are always there when I need them.,WHAR010890D,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,56-65,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/01/2025,TSM Survey,I like the area as it is quiet here.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,Black or Black British: African,House,No disability
01/01/2025,TSM Survey,"The repairs get done within a reasonable time, I don't have to chase them. It's quite straightforward.",ARUN0101700,Why would you say you are satisfied with the service provided?,General Needs,Darlington,26-35,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/01/2025,TSM Survey,"The communication is good. Also , the activities and engagement are good. So far everything is spot on,",PION0200900,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Black or Black British: African,House,No disability
01/01/2025,TSM Survey,When I've got a problem they sort it out straight away.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,Whatever problems that I have had have been sorted straightaway.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,Asian or Asian British: Other,House,No disability
01/01/2025,TSM Survey,"It's nice and easy, everything runs smoothly with North Star.",BRID0202800,Why would you say you are satisfied with the service provided?,Supported,Middlesbrough,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,Every time I report an issue they always act on it and get it done,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Etherley,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,I haven't had any issues.,YARM0105800,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,Disability
01/01/2025,TSM Survey,They are good at the repairs that they do.,GRAN0404204,Why would you say you are satisfied with the service provided?,Supported,Stockton,46-55,White: English/Welsh/Scottish/Northern Irish/British,Room,No disability
01/01/2025,TSM Survey,They have been good and helped me. They have listened to some of my suggestions which has made me feel better.,PALM0101500,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,They do all the repairs as soon as they can.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,56-65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,I have no problems. When things happen they do repairs and furnishing very quickly.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,,House,No disability
01/01/2025,TSM Survey,North Star came out to sort out the electric heaters and the issue was sorted. The contractor was a nice bloke.,MANO0210400,Why would you say you are satisfied with the service provided?,General Needs,Cockfield,46-55,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/01/2025,TSM Survey,If I have a problem with my home or gas or electricity it is solved immediately.,STAM0100600,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Black or Black British: African,House,No disability
01/01/2025,TSM Survey,When I need repairs they come and do them quickly.,WEST0212100,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,25 and under,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,If I have a problem it is fixed straight away.,ALBE010310A,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Black or Black British: African,Flat,No disability
01/01/2025,TSM Survey,I have never had a problem with North Star.,CHAP0100900,Why would you say you are satisfied with the service provided?,General Needs,Skinningrove,56-65,White: English/Welsh/Scottish/Northern Irish/British,Flat,No disability
01/01/2025,TSM Survey,They have always responded well to requests and repairs.,PARA0100500,Why would you say you are satisfied with the service provided?,General Needs,Woodland,56-65,White: English/Welsh/Scottish/Northern Irish/British,Bungalow,No disability
01/01/2025,TSM Survey,When I call up for anything it gets done.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,It's very rarely that I ring them. If need anything doing North Star are there.,CRES0402100,Why would you say you are satisfied with the service provided?,General Needs,Stainton Grove,56-65,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,I have had no problems at all and they are really good people.,DOND0103200,Why would you say you are satisfied with the service provided?,General Needs,Thirsk,66-75,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,"I have never had any problems with North Star and if I need any repairs, they send someone straight out.",BURD0102100,Why would you say you are satisfied with the service provided?,General Needs,Durham,36-45,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/01/2025,TSM Survey,Pauline my housing officer is very supportive I have been through a lot this year and she's easy to speak to.,DARW0100500,Why would you say you are satisfied with the service provided?,General Needs,Stockton,26-35,White: English/Welsh/Scottish/Northern Irish/British,House,No disability
01/04/2023,TSM Survey,Do what they say they are going to.,EDIS010040001,What could North Star do to make you more satisfied with the service provided?,General Needs,Stockton,36-45,White British,House,
01/04/2023,TSM Survey,"More improvements to the property in kitchen and bathroom, better double glazing,",GARD010070005,What could North Star do to make you more satisfied with the service provided?,General Needs,Butterknowle,36-45,White British,Bungalow,
01/04/2023,TSM Survey,"Repairs - having to explain every single time that I work in a school so can only do holidays or after 4:30 but they change the date to days and hours you can’t do. - I understand this isn’t North Star directly, however they are representing you when they’re carrying out your work. Surely they can add that info to the system so I don’t have to call and rearrange 6 times for the same repair. When told something might get done, give an update on it. It’s been 8month and not been told of decision. Outstanding repairs can’t get done until other work is done on neighbouring garden.",AIDA010020001,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,36-45,Mixed Other,House,
01/04/2023,TSM Survey,Have adaptable bungalows in Middlesbrough,AYRE020580001,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,46-55,White British,House,
01/04/2023,TSM Survey,They could of repaired our oven a lot quicker and without my wife having to keep reminding them,ALDE010020001,What could North Star do to make you more satisfied with the service provided?,General Needs,Darlington,66-75,White British,Bungalow,
01/04/2023,TSM Survey,Check that repairs were done correctly,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Hartlepool,66-75,White British,Bungalow,
01/04/2023,TSM Survey,Work with the tenants a lot more,BIRC010001202,What could North Star do to make you more satisfied with the service provided?,General Needs,Barnard Castle,66-75,White British,Flat,
01/04/2023,TSM Survey,Do work that have been planned,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,56-65,White British,House,
01/04/2023,TSM Survey,React quicker to complaints about things that are wrong with property and surroudings,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Evenwood,Over 75,White British,Bungalow,
01/04/2023,TSM Survey,"The online tool to make a repair request has limited options to choose from. For a recent request there was nothing similar to my issue so I had to resort to contacting directly which typically takes much, much longer.Some form of 'other' option in the automated tool would be useful.",BROU040100001,What could North Star do to make you more satisfied with the service provided?,General Needs,Staindrop,46-55,White British,House,
01/04/2023,TSM Survey,Our green outside the house got dug up and has just had grass seed put down. We continued paying for all the two greens to be cut and just think our payment should have been reduced,YARD010030001,What could North Star do to make you more satisfied with the service provided?,General Needs,REDCAR,46-55,White British,House,
01/04/2023,TSM Survey,Do repairs a bit quicker,PHIL010090001,What could North Star do to make you more satisfied with the service provided?,General Needs,Hartlepool,66-75,White British,House,
01/04/2023,TSM Survey,Professional work force who also represent the companies values,CHUR060080003,What could North Star do to make you more satisfied with the service provided?,General Needs,NORTON,46-55,White British,House,
01/04/2023,TSM Survey,Check in from time to time to ensure everything OK,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Staindrop,66-75,White British,Flat,
01/04/2023,TSM Survey,"Do the repairs when they have been asked. In addition there are communication issues, mainly with regard to speaking to people on repairs. They sometimes speak to the wrong person and generally the repair system communication needs sorting.",GRAN020600005,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,Improve the communal area. At the moment it's just bushes.,OUTR030250013,What could North Star do to make you more satisfied with the service provided?,General Needs,Darlington,26-35,White British,Flat,
01/04/2023,TSM Survey,"My bedroom windows need replacing. They are leaking orange fluid. The seals are completely gone. The bathroom needs updating. It is from the 90's. The front and back doors need replacing. They are wooden and I do not feel safe. Repairs need to be done when North Star say they are going to be done. I have been here for a year. There is a wire in the living room, to do with Sky, that has not been sorted. There is a panel missing from the fence. That has been like that for a year.",HOLY010070005,What could North Star do to make you more satisfied with the service provided?,Supported,Middlesbrough,26-35,White British,Bungalow,
01/04/2023,TSM Survey,Slightly quicker in coming out for repairs.,WEST020990001,What could North Star do to make you more satisfied with the service provided?,General Needs,Thornaby,46-55,White British,House,
01/04/2023,TSM Survey,Come out and finish the jobs that they are supposed to have done.,GLEN030040002,What could North Star do to make you more satisfied with the service provided?,General Needs,Ovington,36-45,White British,House,
01/04/2023,TSM Survey,We have had scaffolding up since September and it is doing my head in. There is insulation they need to do and they can't they do it. The foreman came out this morning and said they will hopefully do it by next week. It is hard to keep everything tidy.,LEEK010320001,What could North Star do to make you more satisfied with the service provided?,General Needs,Middleton-in-Teesdale,56-65,White British,House,
01/04/2023,TSM Survey,Everything gets done when you phone the centre,WEST021330003,What could North Star do to make you more satisfied with the service provided?,General Needs,Thornaby,56-65,Black or Black British African,House,
01/04/2023,TSM Survey,"The size of the house is a bit small, the bedrooms especially.",PARK090240001,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,36-45,Asian or Asian British Other,House,
01/04/2023,TSM Survey,There's parts which are extremely poor but they are starting to redeem themselves. I am looking to move due to all the issues.,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Middleton-in-Teesdale,36-45,White British,House,
01/04/2023,TSM Survey,The repair service is shocking. I am waiting for a repair and it has been going on since December. Twice they have not turned up and the same fella has also measured up twice. They have someone new doing the repairs and he is rubbish. I have been on to then today and they are due again on the 20th April.,GAIN010070001,What could North Star do to make you more satisfied with the service provided?,General Needs,Ingleton,56-65,White British,House,
01/04/2023,TSM Survey,"Sometimes I think North Star, when we ask them something, they do not do what we ask them to do. They just come for four to five minutes and go. We have to ask them to come back. It is a shame.",GRAN020370001,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,36-45,Black or Black British African,House,
01/04/2023,TSM Survey,I did report that I had mold in the kitchen. They came and had a look and they said we would get that sorted in next 20 days. That was in January and it has only just been sorted it out in the last two weeks so it took longer than expected.,PALM030060002,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,36-45,White British,House,
01/04/2023,TSM Survey,"When repairs have to be done, to get to me more quickly.",Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Staindrop,46-55,White British,House,
01/04/2023,TSM Survey,Do the fence,BROU040090001,What could North Star do to make you more satisfied with the service provided?,General Needs,Staindrop,Over 75,White British,Bungalow,
01/04/2023,TSM Survey,"You ring them and they try and get things done. They do alright but it's just with the problem we have with the bathroom, we have struggled with it. The shower tray is not very good. My wife is not very good mobility wise. The water was leaking on to the floor, she slipped and twisted herself. The manager came and said they will move the shower head next to the window. That's no good, the water is going to splash of yourself and on to the windowsill and run down back on the floor. The electric shower isn't very goof at all because it keeps going hot and cold. Why don't they put the shower in with the hot and cold water with the combi boiler so we can turn the tap to suit what we want. We had that at our old house and it was a lot better but they won't do that.",FAIR010380003,What could North Star do to make you more satisfied with the service provided?,General Needs,Evenwood,66-75,White British,Bungalow,
01/04/2023,TSM Survey,I don't know really.,CUTH010220003,What could North Star do to make you more satisfied with the service provided?,Housing for Older People,Thornaby,66-75,White British,Flat,
01/04/2023,TSM Survey,I think I should change repair and maintenance company that they work with which is called Ian William because their system for reporting repairs is useless and also the way they handle repairs is useless as well.,CORO020420002,What could North Star do to make you more satisfied with the service provided?,General Needs,Staindrop,46-55,White British,House,
01/04/2023,TSM Survey,Get me some windows.,MCAU020020002,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,The way that we report our repairs could be more clear on how to book an appointment and what the options are,PALM010090004,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,26-35,Black or Black British African,House,
01/04/2023,TSM Survey,They are a great housing company. I keep having a damp problem which I need to report to have it solved.,MANO040060002,What could North Star do to make you more satisfied with the service provided?,General Needs,Ingleton,25 and under,White British,House,
01/04/2023,TSM Survey,I would like it if they responded faster to repairs.,MANO020340006,What could North Star do to make you more satisfied with the service provided?,General Needs,Cockfield,26-35,White British,House,
01/04/2023,TSM Survey,Better response time to on things to do.,RED 010210001,What could North Star do to make you more satisfied with the service provided?,General Needs,Etherley,66-75,White Irish,House,
01/04/2023,TSM Survey,The repair times could be quicker. I have been waiting for the floor in the toilet to be replaced for six month plus and also I am waiting for the fence and the driveway to be repaired. These have both been going on for over a year.,MILL030080002,What could North Star do to make you more satisfied with the service provided?,General Needs,REDCAR,36-45,White British,House,
01/04/2023,TSM Survey,"I have had damp for the last two and a bit years. North Star need to get that sorted. An Inspector came out, but nothing happened.",Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,36-45,White British,House,
01/04/2023,TSM Survey,"It is just that when you log a repair, the turnaround was a lot quicker. At the moment it can take a few weeks, I normally phone in when I have a repair, aside from this the majority of things they do are OK.",Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Darlington,46-55,White British,House,
01/04/2023,TSM Survey,Better communcation,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Hartlepool,66-75,White British,Flat,
01/04/2023,TSM Survey,Be quicker with repairs,VAND010030001,What could North Star do to make you more satisfied with the service provided?,General Needs,Barnard Castle,56-65,White British,House,
01/04/2023,TSM Survey,They can be more time efficient and be more communicative.,PARK010610006,What could North Star do to make you more satisfied with the service provided?,General Needs,Middlesbrough,25 and under,Asian or Asian British Other,House,
01/04/2023,TSM Survey,Pets are allowed on the contract when I expected them to not be.,Anonymous,What could North Star do to make you more satisfied with the service provided?,General Needs,Great Ayton,66-75,White British,Bungalow,
01/04/2023,TSM Survey,Start listening to the people,Anonymous,What could North Star do to make you more satisfied with the service provided?,Housing for Older People,Thornaby,56-65,White British,Flat,
01/04/2023,TSM Survey,There should be better communications from them to tenants.,PRIM010090001,What could North Star do to make you more satisfied with the service provided?,General Needs,Darlington,56-65,White British,House,
01/04/2023,TSM Survey,They could fix the repairs that they said they were going to repair.,WALD010120002,What could North Star do to make you more satisfied with the service provided?,General Needs,Stockton,46-55,White British,House,
