publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2023-04-21,Brand D,They help me out a lot.,MITC021150001,Why is inference so slow on new data?,Freehold,Hartlepool,60+,Mixed,House
2023-05-30,Brand A,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",Anonymous,Why is inference so slow on new data?,Private Rental,REDCAR,46-60,Black,Flat
2022-10-22,Brand D,Very good service,Anonymous,What causes high variance in predictions?,Shared Ownership,Cotherstone,60+,Black,House
2023-02-09,Brand B,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",Anonymous,What causes high variance in predictions?,Shared Ownership,THIRSK,46-60,White,Maisonette
2023-03-02,Brand C,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",WELL020780003,How do I handle missing values?,Leasehold,Hartlepool,60+,Other,Maisonette
2022-07-13,Brand A,They do a good job.,MILT010770106,How do I handle missing values?,Leasehold,Etherley,26-35,White,Flat
2024-12-24,Brand D,"Everything is going good, when I need something it is done quickly.",Anonymous,What hyperparameters should I tune?,Private Rental,Thornaby,26-35,Other,Bungalow
2024-09-23,Brand C,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,COPE010190002,What causes high variance in predictions?,Private Rental,Skinningrove,60+,Black,House
2021-05-12,Brand C,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,BREN010210010,What causes high variance in predictions?,Shared Ownership,Skinningrove,46-60,Other,Maisonette
2021-11-06,Brand D,This is because I have had no problems and there is nothing to complain about.,MANS010810009,How can I improve model precision?,Shared Ownership,REDCAR,26-35,Mixed,Studio
2021-03-22,Brand A,Very good service,WORT020150001,How do I handle missing values?,Private Rental,Consett,46-60,Mixed,House
2023-09-11,Brand D,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",BREN010210010,How can I improve model precision?,Shared Ownership,Barnard Castle,60+,Asian,Bungalow
2021-11-10,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",Anonymous,What hyperparameters should I tune?,Freehold,Sunderland,36-45,Mixed,Bungalow
2024-07-09,Brand A,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,ST P030840009,Why is inference so slow on new data?,Shared Ownership,Staindrop,36-45,Black,Maisonette
2021-02-16,Brand B,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",PARK030100001,What hyperparameters should I tune?,Leasehold,Teesdale,60+,Other,Maisonette
2024-01-03,Brand B,If I need any repairs  done they come straight out or come out the next day,Anonymous,What causes high variance in predictions?,Shared Ownership,REDCAR,18-25,Other,Maisonette
2021-03-09,Brand B,I am happy,Anonymous,What hyperparameters should I tune?,Leasehold,Sunderland,60+,White,Bungalow
2022-02-22,Brand B,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,WORT020150001,Why is inference so slow on new data?,Leasehold,Gainford,18-25,Asian,Studio
2024-12-22,Brand C,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WINS010010001,Why is inference so slow on new data?,Shared Ownership,Hartlepool,26-35,White,Flat
2021-10-08,Brand A,Workers great help respectful,EMBL010020002,How can I improve model precision?,Freehold,Darlington,60+,White,House
2023-03-06,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",MITC021150001,What hyperparameters should I tune?,Freehold,Teesdale,18-25,Asian,Studio
2024-11-25,Brand D,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",LARV020050005,Why is inference so slow on new data?,Private Rental,Middlesbrough,46-60,Other,House
2024-08-06,Brand A,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",NENT010050006,How can I improve model precision?,Shared Ownership,Barnard Castle,46-60,White,Bungalow
2024-12-03,Brand D,I have had no issues.,PION020430001,How can I improve model precision?,Freehold,Stokesley,60+,Black,Maisonette
2022-11-16,Brand C,This is because I have had no problems and there is nothing to complain about.,WELL020780003,What hyperparameters should I tune?,Leasehold,Staindrop,18-25,Mixed,Bungalow
2023-05-26,Brand C,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",MANS010810009,How can I improve model precision?,Freehold,Etherley,46-60,Mixed,Bungalow
2021-09-05,Brand A,Helpfull,Anonymous,How can I improve model precision?,Private Rental,Stokesley,18-25,Other,Studio
2022-02-02,Brand C,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",NENT010050006,What hyperparameters should I tune?,Private Rental,REDCAR,26-35,White,Bungalow
2022-04-29,Brand D,They help me out a lot.,PARK030100001,Why is inference so slow on new data?,Shared Ownership,Staindrop,36-45,Other,Flat
2021-09-16,Brand B,so far jobs have been carried out as promised,AIDA010040003,What hyperparameters should I tune?,Shared Ownership,Gainford,60+,Black,Studio
2022-06-27,Brand A,so far jobs have been carried out as promised,ST P030840009,What causes high variance in predictions?,Freehold,THIRSK,46-60,Other,Bungalow
2022-11-09,Brand B,great service,NENT010050006,Why is inference so slow on new data?,Shared Ownership,Stokesley,60+,Mixed,Bungalow
2021-09-21,Brand D,"If we have ever reported any defects, they done them immediately.",PARK030100001,Why is inference so slow on new data?,Freehold,Sunderland,60+,Black,Studio
2024-05-07,Brand C,All and any issues resolved quickly,MITC021150001,What hyperparameters should I tune?,Shared Ownership,REDCAR,26-35,Mixed,Studio
2022-10-07,Brand C,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",MANS010810009,What hyperparameters should I tune?,Freehold,Gainford,46-60,Mixed,Maisonette
2021-02-04,Brand B,This is because I have had no problems and there is nothing to complain about.,ST P030840009,How do I handle missing values?,Shared Ownership,Middlesbrough,60+,White,Maisonette
2022-06-18,Brand A,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,LARV020050005,How can I improve model precision?,Freehold,Stockton,26-35,Asian,Maisonette
2023-05-11,Brand A,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,NENT010050006,Why is inference so slow on new data?,Private Rental,Thornaby,26-35,Asian,House
2021-04-12,Brand B,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",PLAN010590001,How can I improve model precision?,Leasehold,Gainford,36-45,Other,Flat
2022-03-20,Brand A,From getting the phone call to offer me the house nicola was fantastic throughout it all,WELL020780003,How do I handle missing values?,Freehold,THIRSK,46-60,White,Bungalow
2023-11-21,Brand C,I say that because they give a good service.,COPE010190002,Why is inference so slow on new data?,Freehold,Staindrop,18-25,White,House
2022-10-29,Brand D,"Prompt repair, lovely repair man and a job well done",WELL020780003,How can I improve model precision?,Freehold,NORTON,60+,Asian,Flat
2021-11-03,Brand A,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",WELL020780003,What hyperparameters should I tune?,Leasehold,THIRSK,26-35,Other,Studio
2021-04-08,Brand C,Keep you updated,PLAN010590001,What hyperparameters should I tune?,Freehold,Skinningrove,18-25,White,Bungalow
2024-05-12,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",Anonymous,Why is inference so slow on new data?,Leasehold,Etherley,46-60,Asian,House
2021-10-05,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",Anonymous,What hyperparameters should I tune?,Leasehold,Hartlepool,18-25,Mixed,Flat
2022-08-11,Brand B,"If we have ever reported any defects, they done them immediately.",LARV020050005,Why is inference so slow on new data?,Private Rental,Carlinhow,36-45,Mixed,Flat
2023-08-27,Brand D,so far jobs have been carried out as promised,EMBL010020002,Why is inference so slow on new data?,Shared Ownership,THIRSK,46-60,Asian,Bungalow
2023-10-09,Brand A,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",MILT010770106,What hyperparameters should I tune?,Freehold,Thornaby,26-35,Other,Flat
2022-12-02,Brand B,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",WELL020780003,What hyperparameters should I tune?,Shared Ownership,Sunderland,26-35,Mixed,House
2021-04-16,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,MILT010770106,What hyperparameters should I tune?,Freehold,Skinningrove,60+,Other,Studio
2022-01-30,Brand C,Keep you updated,EMBL010020002,How do I handle missing values?,Freehold,Sunderland,26-35,Mixed,Studio
2023-04-18,Brand A,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",EMBL010020002,How can I improve model precision?,Freehold,Cotherstone,18-25,White,House
2021-02-17,Brand A,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",LARV020050005,How can I improve model precision?,Private Rental,Thornaby,36-45,White,Studio
2023-08-24,Brand A,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",WELL020780003,Why is inference so slow on new data?,Shared Ownership,Cotherstone,36-45,Other,Studio
2022-03-23,Brand D,It is a good service.,AIDA010040003,What causes high variance in predictions?,Shared Ownership,Evenwood,60+,Other,Flat
2024-10-31,Brand D,"If we have ever reported any defects, they done them immediately.",WINS010010001,What hyperparameters should I tune?,Freehold,Etherley,46-60,Asian,House
2023-04-26,Brand D,I say that because they give a good service.,Anonymous,What causes high variance in predictions?,Private Rental,THIRSK,60+,Other,Flat
2023-12-02,Brand B,"Efficiency, reliability, prompt responses.",COPE010190002,What hyperparameters should I tune?,Leasehold,Stokesley,26-35,Asian,Flat
2023-08-31,Brand B,From getting the phone call to offer me the house nicola was fantastic throughout it all,EMBL010020002,How do I handle missing values?,Freehold,Hartlepool,26-35,Black,Maisonette
2022-07-03,Brand D,"Efficiency, reliability, prompt responses.",BREN010210010,How can I improve model precision?,Shared Ownership,Thornaby,36-45,Black,Bungalow
2024-05-04,Brand D,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,COPE010190002,What causes high variance in predictions?,Leasehold,Hartlepool,60+,White,Maisonette
2024-01-15,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",AYRE030310001,How can I improve model precision?,Shared Ownership,Sunderland,18-25,White,Maisonette
2022-10-25,Brand A,They help me out a lot.,ST P030840009,What causes high variance in predictions?,Private Rental,Stockton,46-60,Other,Bungalow
2022-10-25,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,BALD010050001,How can I improve model precision?,Leasehold,Stokesley,60+,Asian,Studio
2023-10-27,Brand A,"Efficiency, reliability, prompt responses.",LARV020050005,How do I handle missing values?,Leasehold,Thornaby,46-60,Other,Flat
2023-05-21,Brand A,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",Anonymous,What hyperparameters should I tune?,Leasehold,Teesdale,46-60,Other,Bungalow
2024-04-28,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",COPE010190002,What hyperparameters should I tune?,Leasehold,Middlesbrough,18-25,Black,House
2021-01-05,Brand A,Made sure that I got my heating and hot water back on the same day he arrived,Anonymous,What causes high variance in predictions?,Private Rental,Etherley,46-60,Mixed,Flat
2023-01-06,Brand A,so far jobs have been carried out as promised,COPE010190002,How do I handle missing values?,Freehold,Stanley,36-45,Mixed,Studio
2022-12-05,Brand D,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,Anonymous,How can I improve model precision?,Private Rental,Stockton,60+,White,House
2022-01-04,Brand D,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",Anonymous,What causes high variance in predictions?,Shared Ownership,Thornaby,36-45,Mixed,Bungalow
2023-08-12,Brand D,Very good service,Anonymous,How do I handle missing values?,Private Rental,Stanley,26-35,White,Studio
2022-04-16,Brand B,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",MITC021150001,What causes high variance in predictions?,Shared Ownership,THIRSK,46-60,Asian,Flat
2021-10-10,Brand B,I say that because they give a good service.,BALD010050001,How can I improve model precision?,Shared Ownership,Barnard Castle,46-60,Other,House
2021-05-30,Brand D,It is a good service.,PION020430001,Why is inference so slow on new data?,Private Rental,Skinningrove,36-45,White,House
2023-07-21,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",WELL020780003,What hyperparameters should I tune?,Freehold,Stokesley,18-25,White,Flat
2021-06-19,Brand B,If I need any repairs  done they come straight out or come out the next day,MANS010810009,How can I improve model precision?,Freehold,Barnard Castle,46-60,Mixed,Flat
2023-04-14,Brand D,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,PLAN010590001,How can I improve model precision?,Shared Ownership,Barnard Castle,46-60,White,Flat
2023-03-14,Brand A,They help me out a lot.,MILT010770106,Why is inference so slow on new data?,Private Rental,Etherley,36-45,Asian,Maisonette
2022-01-26,Brand B,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,Anonymous,What causes high variance in predictions?,Private Rental,Staindrop,18-25,Other,Flat
2021-07-20,Brand C,so far jobs have been carried out as promised,AIDA010040003,Why is inference so slow on new data?,Leasehold,Etherley,36-45,White,Flat
2024-08-03,Brand B,This is because I have had no problems and there is nothing to complain about.,PION020430001,What causes high variance in predictions?,Private Rental,Carlinhow,46-60,Asian,House
2022-01-07,Brand C,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,MITC021150001,What hyperparameters should I tune?,Private Rental,Skinningrove,36-45,Mixed,Flat
2024-11-02,Brand B,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",PION020430001,What causes high variance in predictions?,Freehold,Barnard Castle,18-25,Mixed,Flat
2021-05-16,Brand D,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",Anonymous,What hyperparameters should I tune?,Leasehold,Cotherstone,60+,Other,Bungalow
2022-10-18,Brand A,If I need any repairs  done they come straight out or come out the next day,COPE010190002,What causes high variance in predictions?,Shared Ownership,Skinningrove,26-35,Black,Flat
2024-07-19,Brand A,Workers great help respectful,AYRE030310001,How do I handle missing values?,Leasehold,Carlinhow,36-45,Other,House
2024-05-27,Brand D,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",AIDA010040003,Why is inference so slow on new data?,Leasehold,Stockton,46-60,Black,Bungalow
2022-12-08,Brand D,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",WINS010010001,Why is inference so slow on new data?,Shared Ownership,THIRSK,26-35,Mixed,Flat
2024-08-04,Brand D,Keep you updated,ST P030840009,What causes high variance in predictions?,Freehold,Evenwood,26-35,Black,House
2023-06-29,Brand A,Very good housing and very friendly service,Anonymous,What hyperparameters should I tune?,Shared Ownership,Stanley,36-45,Other,Maisonette
2021-05-30,Brand B,They do a good job.,AIDA010040003,What hyperparameters should I tune?,Private Rental,Stokesley,18-25,Black,House
2022-11-20,Brand B,I have had no issues.,PARK030100001,What causes high variance in predictions?,Leasehold,Hartlepool,26-35,Other,House
2024-01-25,Brand B,I am happy,WORT020150001,What causes high variance in predictions?,Freehold,NORTON,26-35,Mixed,Bungalow
2024-04-21,Brand B,I have had no issues.,BREN010210010,What causes high variance in predictions?,Leasehold,THIRSK,18-25,White,Bungalow
2021-12-26,Brand D,Very good service,AIDA010040003,How do I handle missing values?,Leasehold,Stockton,46-60,Other,Bungalow
2021-03-27,Brand B,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",WORT020150001,What hyperparameters should I tune?,Private Rental,Cotherstone,36-45,Mixed,Maisonette
2021-06-15,Brand A,"Any repairs or things that go wrong, North Star do them as soon as they can do.",Anonymous,How can I improve model precision?,Freehold,Cotherstone,46-60,Black,Flat
2021-09-04,Brand C,because you are honnest,MILT010770106,What causes high variance in predictions?,Leasehold,Stokesley,36-45,Asian,House
2023-02-13,Brand C,Keep you updated,WINS010010001,How can I improve model precision?,Freehold,Staindrop,26-35,Black,Maisonette
2024-08-22,Brand B,Very good service,MITC021150001,What hyperparameters should I tune?,Freehold,Gainford,26-35,White,Maisonette
2024-06-16,Brand C,This is because their customer service is excellent and any problems are resolved well. I have had no problems with North Star whatsoever.,PION020430001,How can I improve model precision?,Private Rental,Thornaby,26-35,Other,Studio
2022-03-17,Brand A,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,Anonymous,How do I handle missing values?,Freehold,Stanley,46-60,Black,Bungalow
2022-09-07,Brand C,great service,WORT020150001,What causes high variance in predictions?,Shared Ownership,Gainford,46-60,Asian,House
2024-03-13,Brand B,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,BALD010050001,Why is inference so slow on new data?,Private Rental,Consett,60+,White,Flat
2023-08-19,Brand C,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",PION020430001,What hyperparameters should I tune?,Freehold,Hartlepool,18-25,Black,House
2021-12-28,Brand C,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,ST P030840009,What hyperparameters should I tune?,Freehold,Darlington,60+,Mixed,Flat
2022-09-20,Brand C,Helpfull,MILT010770106,How do I handle missing values?,Leasehold,Barnard Castle,26-35,Mixed,Flat
2023-08-10,Brand D,"If we have ever reported any defects, they done them immediately.",AYRE030310001,What causes high variance in predictions?,Leasehold,Etherley,18-25,Mixed,Flat
2022-08-29,Brand A,Made sure that I got my heating and hot water back on the same day he arrived,ST P030840009,What causes high variance in predictions?,Freehold,Middlesbrough,26-35,Asian,House
2022-01-19,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",PARK030100001,What causes high variance in predictions?,Leasehold,Carlinhow,36-45,Black,Bungalow
2022-06-26,Brand C,"Everything is going good, when I need something it is done quickly.",COPE010190002,What hyperparameters should I tune?,Freehold,Stokesley,36-45,Asian,Bungalow
2022-05-16,Brand B,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,PION020430001,What hyperparameters should I tune?,Shared Ownership,Cockfield,18-25,Black,Studio
2022-05-07,Brand B,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",PARK030100001,How can I improve model precision?,Private Rental,Evenwood,26-35,Black,House
2024-05-27,Brand A,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",Anonymous,How can I improve model precision?,Leasehold,Skinningrove,18-25,White,Maisonette
2022-10-11,Brand A,Generally rent is fair and necessary work and repairs are carried out saisfactorily,BREN010210010,Why is inference so slow on new data?,Shared Ownership,Etherley,60+,Asian,Bungalow
2022-09-15,Brand A,Keep you updated,LARV020050005,How do I handle missing values?,Private Rental,Sunderland,36-45,Black,Flat
2024-05-06,Brand B,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",NENT010050006,What causes high variance in predictions?,Leasehold,Thornaby,36-45,Other,Studio
2022-10-21,Brand A,"Any repairs or things that go wrong, North Star do them as soon as they can do.",BALD010050001,How can I improve model precision?,Freehold,Middlesbrough,18-25,Other,Bungalow
2021-07-21,Brand D,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WORT020150001,How do I handle missing values?,Leasehold,Etherley,60+,Asian,Maisonette
2021-09-06,Brand A,If I need any repairs  done they come straight out or come out the next day,NENT010050006,What causes high variance in predictions?,Freehold,Middlesbrough,36-45,Black,Flat
2021-05-27,Brand B,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",WINS010010001,What causes high variance in predictions?,Freehold,Etherley,46-60,Black,Studio
2023-04-10,Brand C,"Prompt repair, lovely repair man and a job well done",ST P030840009,What hyperparameters should I tune?,Freehold,Cotherstone,46-60,Black,House
2023-08-29,Brand A,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,MANS010810009,What hyperparameters should I tune?,Leasehold,NORTON,26-35,Asian,House
2021-09-07,Brand C,They help me out a lot.,COPE010190002,Why is inference so slow on new data?,Private Rental,NORTON,18-25,Black,House
2022-01-13,Brand B,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,PARK030100001,What hyperparameters should I tune?,Shared Ownership,Thornaby,60+,Mixed,Bungalow
2022-09-02,Brand B,because you are honnest,MILT010770106,What hyperparameters should I tune?,Private Rental,Middlesbrough,46-60,Black,Flat
2021-12-18,Brand D,great service,Anonymous,What hyperparameters should I tune?,Leasehold,Thornaby,26-35,Other,Maisonette
2021-10-24,Brand C,If I need any repairs  done they come straight out or come out the next day,MILT010770106,What hyperparameters should I tune?,Private Rental,Sunderland,18-25,White,House
2021-06-20,Brand D,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,Anonymous,What causes high variance in predictions?,Freehold,Skinningrove,60+,Mixed,Maisonette
2021-09-02,Brand C,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",Anonymous,Why is inference so slow on new data?,Leasehold,Skinningrove,36-45,Asian,Flat
2024-01-15,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",MITC021150001,How do I handle missing values?,Shared Ownership,Evenwood,46-60,Mixed,Bungalow
2024-03-30,Brand C,Keep you updated,MANS010810009,What hyperparameters should I tune?,Private Rental,Consett,26-35,Asian,Flat
2022-10-07,Brand B,Generally rent is fair and necessary work and repairs are carried out saisfactorily,AYRE030310001,Why is inference so slow on new data?,Private Rental,Darlington,46-60,Black,House
2021-01-29,Brand B,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",BALD010050001,Why is inference so slow on new data?,Leasehold,Etherley,18-25,Mixed,Bungalow
2022-09-27,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",Anonymous,Why is inference so slow on new data?,Shared Ownership,Sunderland,18-25,White,House
2024-04-19,Brand D,All and any issues resolved quickly,Anonymous,Why is inference so slow on new data?,Leasehold,Barnard Castle,26-35,Black,Studio
2022-01-21,Brand C,"Efficiency, reliability, prompt responses.",BREN010210010,What hyperparameters should I tune?,Private Rental,Gainford,26-35,White,Maisonette
2022-12-10,Brand A,This is because I have had no problems and there is nothing to complain about.,Anonymous,How can I improve model precision?,Freehold,Teesdale,36-45,Black,Studio
2022-07-08,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,Anonymous,Why is inference so slow on new data?,Shared Ownership,Cockfield,18-25,Mixed,Studio
2024-04-27,Brand C,I have had no issues.,WINS010010001,How can I improve model precision?,Freehold,Middlesbrough,18-25,Other,Bungalow
2023-04-09,Brand D,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",LARV020050005,How do I handle missing values?,Private Rental,THIRSK,46-60,Other,Maisonette
2023-11-28,Brand A,Very good housing and very friendly service,MANS010810009,How can I improve model precision?,Private Rental,Evenwood,60+,White,Studio
2023-12-18,Brand C,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",MITC021150001,What hyperparameters should I tune?,Freehold,Teesdale,26-35,Asian,Bungalow
2023-02-24,Brand D,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,MITC021150001,What hyperparameters should I tune?,Shared Ownership,Middlesbrough,36-45,White,Flat
2024-08-12,Brand C,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",PION020430001,What causes high variance in predictions?,Leasehold,Barnard Castle,46-60,Mixed,Flat
2022-04-27,Brand D,Workers great help respectful,BALD010050001,What causes high variance in predictions?,Leasehold,Gainford,46-60,Other,House
2022-04-22,Brand C,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",MANS010810009,What hyperparameters should I tune?,Leasehold,Etherley,36-45,Mixed,Studio
2022-01-25,Brand A,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,BREN010210010,What causes high variance in predictions?,Shared Ownership,Sunderland,36-45,Black,Flat
2024-12-18,Brand D,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",Anonymous,How can I improve model precision?,Shared Ownership,Skinningrove,26-35,Mixed,Flat
2023-03-12,Brand D,"Any repairs or things that go wrong, North Star do them as soon as they can do.",PARK030100001,Why is inference so slow on new data?,Shared Ownership,Middlesbrough,60+,Asian,Maisonette
2023-04-23,Brand B,It is a good service.,AIDA010040003,How do I handle missing values?,Private Rental,Gainford,36-45,Black,Flat
